File: server
Build ID: 6bb927709f5a4112556a3cf292ca47f2b149d7b5
Type: cpu
Time: 2026-09-24 15:18:14 EDT
Duration: 20s, Total samples = 1.72s ( 8.60%)
Showing nodes accounting for 1.72s, 100% of 1.72s total
      flat  flat%   sum%        cum   cum%
     0.70s 40.70% 40.70%      0.70s 40.70%  internal/runtime/syscall/linux.Syscall6
     0.23s 13.37% 54.07%      0.23s 13.37%  runtime.futex
     0.05s  2.91% 56.98%      0.05s  2.91%  runtime.nanotime (inline)
     0.03s  1.74% 58.72%      0.03s  1.74%  runtime.write1
     0.02s  1.16% 59.88%      0.02s  1.16%  internal/bytealg.IndexByteString
     0.02s  1.16% 61.05%      0.02s  1.16%  runtime.cheaprand (inline)
     0.02s  1.16% 62.21%      0.30s 17.44%  runtime.findRunnable
     0.02s  1.16% 63.37%      0.02s  1.16%  runtime.lock2
     0.02s  1.16% 64.53%      0.05s  2.91%  runtime.mallocgc
     0.02s  1.16% 65.70%      0.02s  1.16%  runtime.mallocgcTinySC2
     0.02s  1.16% 66.86%      0.02s  1.16%  runtime.memclrNoHeapPointers
     0.02s  1.16% 68.02%      0.07s  4.07%  runtime.netpoll
     0.02s  1.16% 69.19%      0.02s  1.16%  sync.(*Pool).Get
     0.01s  0.58% 69.77%      0.01s  0.58%  addMulVVWx
     0.01s  0.58% 70.35%      0.04s  2.33%  bufio.(*Reader).fill
     0.01s  0.58% 70.93%      0.01s  0.58%  context.(*valueCtx).Done
     0.01s  0.58% 71.51%      0.01s  0.58%  context.removeChild
     0.01s  0.58% 72.09%      0.01s  0.58%  context.value
     0.01s  0.58% 72.67%      0.01s  0.58%  crypto/internal/fips140/sha256.blockSHA2
     0.01s  0.58% 73.26%      0.01s  0.58%  encoding/json/internal/jsonwire.AppendQuote
     0.01s  0.58% 73.84%      0.01s  0.58%  encoding/json/internal/jsonwire.ConsumeStringResumable
     0.01s  0.58% 74.42%      0.02s  1.16%  encoding/json/jsontext.(*encoderState).WriteToken
     0.01s  0.58% 75.00%      0.01s  0.58%  encoding/json/jsontext.String
     0.01s  0.58% 75.58%      0.01s  0.58%  errors.Is
     0.01s  0.58% 76.16%      0.01s  0.58%  fmt.(*pp).printArg
     0.01s  0.58% 76.74%      0.01s  0.58%  github.com/jackc/pgx/v5.(*ExtendedQueryBuilder).reset (inline)
     0.01s  0.58% 77.33%      0.02s  1.16%  github.com/jackc/pgx/v5/pgconn.(*PgConn).exitPotentialWriteReadDeadlock
     0.01s  0.58% 77.91%      0.03s  1.74%  github.com/jackc/pgx/v5/pgconn.(*ResultReader).receiveMessage
     0.01s  0.58% 78.49%      0.01s  0.58%  github.com/jackc/pgx/v5/pgproto3.(*Bind).Encode
     0.01s  0.58% 79.07%      0.01s  0.58%  github.com/jackc/pgx/v5/pgproto3.(*Execute).Encode
     0.01s  0.58% 79.65%      0.10s  5.81%  github.com/jackc/pgx/v5/pgproto3.(*Frontend).Receive
     0.01s  0.58% 80.23%      0.01s  0.58%  github.com/jackc/pgx/v5/pgtype.isNilDriverValuer
     0.01s  0.58% 80.81%      0.01s  0.58%  github.com/jackc/pgx/v5/pgxpool.(*Tx).Rollback
     0.01s  0.58% 81.40%      0.01s  0.58%  github.com/jackc/puddle/v2.(*Resource[go.shape.*uint8]).Value (inline)
     0.01s  0.58% 81.98%      0.99s 57.56%  incidentdesk/internal/app.(*App).route.func1
     0.01s  0.58% 82.56%      0.01s  0.58%  internal/runtime/maps.(*groupReference).elem (inline)
     0.01s  0.58% 83.14%      0.01s  0.58%  internal/runtime/maps.memHashAES
     0.01s  0.58% 83.72%      0.01s  0.58%  internal/sync.(*HashTrieMap[go.shape.interface {},go.shape.interface {}]).Load
     0.01s  0.58% 84.30%      0.09s  5.23%  io.ReadAtLeast
     0.01s  0.58% 84.88%      0.14s  8.14%  net.(*conn).Read
     0.01s  0.58% 85.47%      0.01s  0.58%  net/http.(*Request).wantsHttp10KeepAlive
     0.01s  0.58% 86.05%      1.05s 61.05%  net/http.HandlerFunc.ServeHTTP
     0.01s  0.58% 86.63%      0.01s  0.58%  net/http.StatusText
     0.01s  0.58% 87.21%      0.01s  0.58%  runtime.(*mcache).prepareForSweep
     0.01s  0.58% 87.79%      0.01s  0.58%  runtime.(*spanSet).reset
     0.01s  0.58% 88.37%      0.01s  0.58%  runtime.(*timers).run
     0.01s  0.58% 88.95%      0.01s  0.58%  runtime.arenaIndex (inline)
     0.01s  0.58% 89.53%      0.01s  0.58%  runtime.checkTimersNoP
     0.01s  0.58% 90.12%      0.02s  1.16%  runtime.entersyscall
     0.01s  0.58% 90.70%      0.02s  1.16%  runtime.findnull
     0.01s  0.58% 91.28%      0.01s  0.58%  runtime.freeDeadSpanSPMCs
     0.01s  0.58% 91.86%      0.01s  0.58%  runtime.gopark
     0.01s  0.58% 92.44%      0.03s  1.74%  runtime.isSystemGoroutine
     0.01s  0.58% 93.02%      0.01s  0.58%  runtime.mallocgcSmallScanNoHeaderSC2
     0.01s  0.58% 93.60%      0.02s  1.16%  runtime.mallocgcSmallScanNoHeaderSC7
     0.01s  0.58% 94.19%      0.01s  0.58%  runtime.mapaccess2_faststr
     0.01s  0.58% 94.77%      0.01s  0.58%  runtime.memmove
     0.01s  0.58% 95.35%      0.01s  0.58%  runtime.pageIndexOf (inline)
     0.01s  0.58% 95.93%      0.01s  0.58%  runtime.pcvalue
     0.01s  0.58% 96.51%      0.01s  0.58%  runtime.scanblock
     0.01s  0.58% 97.09%      0.01s  0.58%  runtime.stealWork
     0.01s  0.58% 97.67%      0.01s  0.58%  runtime.unlock2
     0.01s  0.58% 98.26%      0.11s  6.40%  syscall.Read (inline)
     0.01s  0.58% 98.84%      0.02s  1.16%  time.Time.AppendFormat
     0.01s  0.58% 99.42%      0.01s  0.58%  time.Time.appendFormat
     0.01s  0.58%   100%      0.01s  0.58%  unicode/utf8.ValidString
         0     0%   100%      0.05s  2.91%  _.goready.func1
         0     0%   100%      0.04s  2.33%  bufio.(*Reader).Peek
         0     0%   100%      0.02s  1.16%  bufio.(*Reader).Read
         0     0%   100%      0.01s  0.58%  bufio.(*Reader).ReadLine
         0     0%   100%      0.01s  0.58%  bufio.(*Reader).ReadSlice
         0     0%   100%      0.09s  5.23%  bufio.(*Writer).Flush
         0     0%   100%      0.01s  0.58%  bytes.IndexByte (inline)
         0     0%   100%      0.02s  1.16%  context.(*cancelCtx).Value
         0     0%   100%      0.01s  0.58%  context.(*cancelCtx).cancel
         0     0%   100%      0.01s  0.58%  context.WithCancel.func1
         0     0%   100%      0.01s  0.58%  crypto.Hash.New
         0     0%   100%      0.01s  0.58%  crypto/internal/fips140/bigmod.(*Nat).montgomeryMul
         0     0%   100%      0.01s  0.58%  crypto/internal/fips140/bigmod.NewModulus
         0     0%   100%      0.01s  0.58%  crypto/internal/fips140/bigmod.newModulus
         0     0%   100%      0.01s  0.58%  crypto/internal/fips140/bigmod.rr
         0     0%   100%      0.01s  0.58%  crypto/internal/fips140/drbg.Read
         0     0%   100%      0.01s  0.58%  crypto/internal/fips140/sha256.(*Digest).Write
         0     0%   100%      0.01s  0.58%  crypto/internal/fips140/sha256.New (inline)
         0     0%   100%      0.01s  0.58%  crypto/internal/fips140/sha256.block
         0     0%   100%      0.01s  0.58%  crypto/internal/sysrand.Read
         0     0%   100%      0.01s  0.58%  crypto/internal/sysrand.read
         0     0%   100%      0.01s  0.58%  crypto/rand.Read
         0     0%   100%      0.01s  0.58%  crypto/rsa.VerifyPKCS1v15
         0     0%   100%      0.01s  0.58%  crypto/rsa.fipsPublicKey
         0     0%   100%      0.01s  0.58%  crypto/sha256.New
         0     0%   100%      0.01s  0.58%  crypto/sha256.Sum256
         0     0%   100%      0.07s  4.07%  encoding/json.(*Decoder).Decode
         0     0%   100%      0.03s  1.74%  encoding/json.(*Encoder).Encode
         0     0%   100%      0.02s  1.16%  encoding/json.Marshal (inline)
         0     0%   100%      0.01s  0.58%  encoding/json.Unmarshal (inline)
         0     0%   100%      0.03s  1.74%  encoding/json/jsontext.(*Decoder).ReadValue (inline)
         0     0%   100%      0.02s  1.16%  encoding/json/jsontext.(*Encoder).WriteToken (inline)
         0     0%   100%      0.02s  1.16%  encoding/json/jsontext.(*Encoder).WriteValue (inline)
         0     0%   100%      0.01s  0.58%  encoding/json/jsontext.(*decoderState).CheckNextValue
         0     0%   100%      0.03s  1.74%  encoding/json/jsontext.(*decoderState).ReadValue
         0     0%   100%      0.02s  1.16%  encoding/json/jsontext.(*decoderState).consumeObject
         0     0%   100%      0.02s  1.16%  encoding/json/jsontext.(*decoderState).consumeString
         0     0%   100%      0.02s  1.16%  encoding/json/jsontext.(*decoderState).consumeValue
         0     0%   100%      0.02s  1.16%  encoding/json/jsontext.(*decoderState).consumeWhitespace
         0     0%   100%      0.03s  1.74%  encoding/json/jsontext.(*decoderState).fetch
         0     0%   100%      0.02s  1.16%  encoding/json/jsontext.(*encoderState).WriteValue
         0     0%   100%      0.01s  0.58%  encoding/json/jsontext.(*encoderState).reformatArray
         0     0%   100%      0.02s  1.16%  encoding/json/jsontext.(*encoderState).reformatObject
         0     0%   100%      0.02s  1.16%  encoding/json/jsontext.(*encoderState).reformatValue
         0     0%   100%      0.01s  0.58%  encoding/json/jsontext.Token.appendString
         0     0%   100%      0.02s  1.16%  encoding/json/jsontext.export.GetBufferedDecoder (inline)
         0     0%   100%      0.02s  1.16%  encoding/json/jsontext.getBufferedDecoder
         0     0%   100%      0.01s  0.58%  encoding/json/v2.(*structFields).lookupByFoldedName
         0     0%   100%      0.02s  1.16%  encoding/json/v2.Marshal
         0     0%   100%      0.03s  1.74%  encoding/json/v2.MarshalEncode
         0     0%   100%      0.05s  2.91%  encoding/json/v2.Unmarshal
         0     0%   100%      0.01s  0.58%  encoding/json/v2.lookupArshaler
         0     0%   100%      0.03s  1.74%  encoding/json/v2.makeMapArshaler.func2
         0     0%   100%      0.02s  1.16%  encoding/json/v2.makeMethodArshaler.func3
         0     0%   100%      0.01s  0.58%  encoding/json/v2.makeSliceArshaler.func3
         0     0%   100%      0.01s  0.58%  encoding/json/v2.makeStringArshaler.func1
         0     0%   100%      0.01s  0.58%  encoding/json/v2.makeStructArshaler.func3
         0     0%   100%      0.05s  2.91%  encoding/json/v2.marshalEncode
         0     0%   100%      0.03s  1.74%  encoding/json/v2.unmarshalDecode
         0     0%   100%      0.01s  0.58%  fmt.(*pp).doPrintf
         0     0%   100%      0.01s  0.58%  fmt.Sprintf
         0     0%   100%      0.03s  1.74%  github.com/coreos/go-oidc/v3/oidc.(*IDTokenVerifier).Verify
         0     0%   100%      0.03s  1.74%  github.com/coreos/go-oidc/v3/oidc.(*RemoteKeySet).VerifySignature
         0     0%   100%      0.03s  1.74%  github.com/coreos/go-oidc/v3/oidc.(*RemoteKeySet).verify
         0     0%   100%      0.03s  1.74%  github.com/go-jose/go-jose/v4.JSONWebSignature.DetachedVerify
         0     0%   100%      0.03s  1.74%  github.com/go-jose/go-jose/v4.JSONWebSignature.Verify (inline)
         0     0%   100%      0.01s  0.58%  github.com/go-jose/go-jose/v4.JSONWebSignature.computeAuthData
         0     0%   100%      0.02s  1.16%  github.com/go-jose/go-jose/v4.rsaEncrypterVerifier.verifyPayload
         0     0%   100%      0.01s  0.58%  github.com/go-jose/go-jose/v4/json.(*decodeState).object
         0     0%   100%      0.01s  0.58%  github.com/go-jose/go-jose/v4/json.(*decodeState).unmarshal
         0     0%   100%      0.01s  0.58%  github.com/go-jose/go-jose/v4/json.(*decodeState).value
         0     0%   100%      0.01s  0.58%  github.com/go-jose/go-jose/v4/json.Unmarshal
